LOT,Arrival Time at Staging Area,STARTOPER_MOVEIN_DATE,STARTOPER_MOVEOUT_DATE,STARTOPER_PREVOUT_DATE,STARTOPER_ENTITY,Available Start Entity,ENDOPER_MOVEIN_DATE,ENDOPER_MOVEOUT_DATE,ENDOPER_PREVOUT_DATE,ENDOPER_ENTITY,WAFER_QTY,Available Entity,Time step,Benchmark,Current Hours
L0023310,5/4/2020 13:10,8/4/2020 0:56,8/4/2020 1:58,8/4/2020 0:45,CVD224,13,8/4/2020 2:59,8/4/2020 4:41,8/4/2020 1:58,CDO201,25,4,1509,1,1.014444
L0026840,5/4/2020 13:27,8/4/2020 1:13,8/4/2020 2:01,8/4/2020 0:47,XCL824,13,8/4/2020 3:07,8/4/2020 4:38,8/4/2020 2:01,CDO609,25,4,1511,1,1.096667
L0025960,5/4/2020 13:40,8/4/2020 1:04,8/4/2020 1:55,8/4/2020 0:57,CVD225,13,8/4/2020 2:56,8/4/2020 4:31,8/4/2020 1:55,CDO203,25,4,1521,1,1.026944
L0030230,5/4/2020 14:28,8/4/2020 1:39,8/4/2020 2:32,8/4/2020 1:35,CVD620,15,8/4/2020 3:54,8/4/2020 5:36,8/4/2020 2:32,CDO203,25,4,1559,1,1.360278
L0026860,5/4/2020 14:46,8/4/2020 2:01,8/4/2020 2:40,8/4/2020 1:57,XCL824,15,8/4/2020 4:07,8/4/2020 5:33,8/4/2020 2:40,CDO609,25,4,1581,1,1.451389
L0023540,5/4/2020 14:47,8/4/2020 2:47,8/4/2020 3:26,8/4/2020 2:43,XCL824,15,8/4/2020 4:08,8/4/2020 5:33,8/4/2020 3:26,CDO202,25,4,1627,0,0.703333
L0030390,5/4/2020 15:12,8/4/2020 2:56,8/4/2020 3:47,8/4/2020 2:51,CVD225,15,8/4/2020 4:07,8/4/2020 5:35,8/4/2020 3:47,CDO201,25,4,1635,0,0.340278
L0022980,5/4/2020 15:23,8/4/2020 3:40,8/4/2020 4:31,8/4/2020 3:37,CVD613,15,8/4/2020 4:55,8/4/2020 6:27,8/4/2020 4:31,CDO609,25,4,1681,0,0.395556
L0022510,5/4/2020 16:49,8/4/2020 3:42,8/4/2020 4:34,8/4/2020 3:39,CVD620,15,8/4/2020 5:03,8/4/2020 6:29,8/4/2020 4:34,CDO201,25,4,1683,0,0.493611
L0032120,5/4/2020 17:26,8/4/2020 3:56,8/4/2020 4:47,8/4/2020 3:41,CVD225,15,8/4/2020 5:38,8/4/2020 6:46,8/4/2020 4:47,CDO203,25,4,1685,0,0.849722
L0030120,5/4/2020 18:03,8/4/2020 4:17,8/4/2020 5:11,8/4/2020 3:45,CVD613,15,8/4/2020 5:46,8/4/2020 6:53,8/4/2020 5:11,CDO202,25,4,1689,0,0.587222
L0013660,5/4/2020 18:09,8/4/2020 4:38,8/4/2020 5:27,8/4/2020 4:33,CVD620,15,8/4/2020 5:49,8/4/2020 7:21,8/4/2020 5:27,CDO609,24,4,1737,0,0.364444
L0042790,5/4/2020 18:19,8/4/2020 4:52,8/4/2020 5:46,8/4/2020 4:41,CVD225,15,8/4/2020 5:55,8/4/2020 7:30,8/4/2020 5:46,CDO201,25,4,1745,0,0.145
L0025560,5/4/2020 18:39,8/4/2020 4:57,8/4/2020 5:50,8/4/2020 4:43,CVD613,15,8/4/2020 6:09,8/4/2020 7:40,8/4/2020 5:50,CDO203,25,4,1747,0,0.322222
L0030100,5/4/2020 21:36,8/4/2020 5:11,8/4/2020 6:07,8/4/2020 4:45,CVD620,15,8/4/2020 6:22,8/4/2020 7:47,8/4/2020 6:07,CDO202,25,4,1749,0,0.240278
L0020220,6/4/2020 1:58,8/4/2020 5:37,8/4/2020 6:30,8/4/2020 5:33,CVD613,15,8/4/2020 6:48,8/4/2020 8:20,8/4/2020 6:30,CDO609,25,4,1797,0,0.306111
L0030090,6/4/2020 2:17,8/4/2020 5:49,8/4/2020 6:47,8/4/2020 5:35,CVD620,15,8/4/2020 7:06,8/4/2020 8:34,8/4/2020 6:47,CDO203,25,4,1799,0,0.315833
L0031840,6/4/2020 3:05,8/4/2020 6:10,8/4/2020 7:09,8/4/2020 5:37,CVD613,15,8/4/2020 7:14,8/4/2020 8:41,8/4/2020 7:09,CDO202,25,4,1801,0,0.078889
L0043720,6/4/2020 3:48,8/4/2020 5:51,8/4/2020 6:42,8/4/2020 5:39,CVD225,15,8/4/2020 6:56,8/4/2020 8:24,8/4/2020 6:42,CDO201,25,4,1803,0,0.233889
